Recording	Participant	Gender	Group	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	1	0	1653	1653			0,42909	0,24603	3,75464										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1	1	fullstream	Saccade	Partial	1	1653	1673	20							140,01	140,01				0,42909	0,24603		
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	2	1753	4252	2499			0,5145	0,20377	3,74228										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1	1	fullstream	Saccade	Whole	2	4252	4292	40						275,16	198,88	201,73	11,06			0,5145	0,20377	0,53308	0,40951
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	3	4292	4492	200			0,53308	0,40951	3,88279										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1	1	fullstream	Saccade	Whole	3	4492	4552	60						165,45	222,96	328,62	9,51			0,53308	0,40951	0,4334	0,38363
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	4	4552	8149	3598			0,4334	0,38363	3,79694										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1	1	fullstream	Saccade	Partial	4	8249	8309	60							221,09	257,26						0,51503	0,41843
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	5	8309	10828	2519			0,51503	0,41843	3,69473										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1	1	fullstream	Saccade	Partial	5	10828	10848	20							115,29	115,29				0,51503	0,41843		
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1	1	fullstream	Saccade	Partial	6	10908	10948	40							138,2	138,2							
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1	1	fullstream	Saccade	Partial	7	10988	11008	20							130,68	130,68						0,45728	0,25579
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	6	11008	14006	2998			0,45728	0,25579	3,61696										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1	1	fullstream	Saccade	Whole	8	14006	14026	20						303,27	119,82	119,82	1,25			0,45728	0,25579	0,46807	0,27224
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	7	14026	14206	180			0,46807	0,27224	3,67507										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1	1	fullstream	Saccade	Partial	9	14206	14226	20							112,97	112,97				0,46807	0,27224		
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	8	14306	18064	3758			0,48676	0,31498	3,60045										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1	1	fullstream	Saccade	Whole	10	18064	18084	20						255,5	108,7	108,7	2,62			0,48676	0,31498	0,46328	0,40574
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	9	18084	20462	2379			0,46328	0,40574	3,64132										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1	1	fullstream	Saccade	Partial	11	20462	20482	20							112,38	112,38				0,46328	0,40574		
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1	1	fullstream	Saccade	Partial	12	20542	20562	20							121,68	121,68							
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1	1	fullstream	Saccade	Partial	13	20662	20722	60							113,94	128,52						0,47269	0,33072
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	10	20722	26253	5530			0,47269	0,33072	3,567										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Partial	1	0	1653	1653		0	0,42909	0,24603	3,75464										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Partial	1	1653	1673	20							140,01	140,01				0,42909	0,24603		
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Partial	2	1753	4252	2499		0	0,5145	0,20377	3,74228										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Whole	2	4252	4292	40						275,16	198,88	201,73	11,06			0,5145	0,20377	0,53308	0,40951
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	3	4292	4492	200		0	0,53308	0,40951	3,88279										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Whole	3	4492	4552	60						165,45	222,96	328,62	9,51			0,53308	0,40951	0,4334	0,38363
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Partial	4	4552	8149	3598		0	0,4334	0,38363	3,79694										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Partial	4	8249	8309	60							221,09	257,26						0,51503	0,41843
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	5	8309	10828	2519		0	0,51503	0,41843	3,69473										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Partial	5	10828	10848	20							115,29	115,29				0,51503	0,41843		
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Partial	6	10908	10948	40							138,2	138,2							
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Partial	7	10988	11008	20							130,68	130,68						0,45728	0,25579
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	6	11008	14006	2998		0	0,45728	0,25579	3,61696										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Whole	8	14006	14026	20						303,27	119,82	119,82	1,25			0,45728	0,25579	0,46807	0,27224
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	7	14026	14206	180		0	0,46807	0,27224	3,67507										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Partial	9	14206	14226	20							112,97	112,97				0,46807	0,27224		
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Partial	8	14306	18064	3758		0	0,48676	0,31498	3,60045										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Whole	10	18064	18084	20						255,5	108,7	108,7	2,62			0,48676	0,31498	0,46328	0,40574
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	9	18084	20462	2379		0	0,46328	0,40574	3,64132										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Partial	11	20462	20482	20							112,38	112,38				0,46328	0,40574		
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Partial	12	20542	20562	20							121,68	121,68							
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Partial	13	20662	20722	60							113,94	128,52						0,47269	0,33072
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	10	20722	26859	6136		0	0,47269	0,33072	3,5747										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Partial	14	26859	26879	20							247,96	247,96				0,47269	0,33072		
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Partial	15	26899	26979	80							306,32	554,08							
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Partial	16	26999	27038	40							221,74	221,74							
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Partial	11	27118	27198	80		0	0,14362	0,37769	3,76004										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Partial	17	27458	27478	20							113,35	113,35							
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Partial	18	27518	27538	20							201,41	201,41							
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Partial	19	27558	27698	140							154,14	220,23							
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Partial	20	27718	27798	80							122,71	153,6							
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Partial	21	27838	27858	20							156,67	156,67							
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Partial	22	27918	27978	60							421,47	467,25							
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Partial	23	28058	28178	120							237,1	379,91							
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Partial	24	28218	28278	60							273,17	331,84							
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Partial	25	28298	28318	20							102,82	102,82							
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Partial	26	28338	28358	20							126,28	126,28						0,34043	0,61313
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Partial	12	28358	28518	160		0	0,34043	0,61313	4,37483										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Partial	27	28578	28598	20							179,39	179,39							
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Partial	28	28658	28718	60							246,08	340,62						0,47132	0,3154
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	13	28718	28937	220		0	0,47132	0,3154	4,54575										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Whole	29	28937	28997	60						136	303,84	380,49	15,31			0,47132	0,3154	0,31365	0,16316
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	14	28997	29337	340		0	0,31365	0,16316	4,6996										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Whole	30	29337	29437	100						305,98	299,24	535,53	29,56			0,31365	0,16316	0,58475	0,53657
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	15	29437	29577	140		0	0,58475	0,53657	4,75043										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Whole	31	29577	29637	60						19,56	207,12	390	5,57			0,58475	0,53657	0,64898	0,51375
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	16	29637	29877	240		0	0,64898	0,51375	4,85954										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Saccade	Whole	32	29877	29957	80						148,37	276,29	444,96	23,79		Classroom_Others	0,64898	0,51375	0,387	0,35241
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Partial	17	29957	30000	43	Classroom_Others	1	0,387	0,35241	4,79914										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Fixation	Partial	1	0	2281	2281			0,4269	0,24027	3,88125										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Saccade	Whole	1	2281	2341	60						34,44	201,97	249,1	9,91			0,4269	0,24027	0,53394	0,16686
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Fixation	Whole	2	2341	2841	500			0,53394	0,16686	3,9951										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Saccade	Partial	2	2841	2861	20							637	637				0,53394	0,16686		
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Saccade	Partial	3	2941	2981	40							128,23	152,13						0,49252	0,19223
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Fixation	Whole	3	2981	6299	3318			0,49252	0,19223	3,68261										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Saccade	Whole	4	6299	6319	20						236,99	119,56	119,56	4,19			0,49252	0,19223	0,45763	0,24595
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Fixation	Whole	4	6319	6699	380			0,45763	0,24595	3,81183										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Saccade	Whole	5	6699	6719	20						229,8	182,33	182,33	4,56			0,45763	0,24595	0,41839	0,29238
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Fixation	Whole	5	6719	6979	260			0,41839	0,29238	3,81762										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Saccade	Whole	6	6979	6998	20						252,8	176,04	176,04	5,46			0,41839	0,29238	0,3891	0,38702
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Fixation	Partial	6	6998	7738	740			0,3891	0,38702	3,83619										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Saccade	Partial	7	7758	7798	40							408,23	408,23							
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Saccade	Partial	8	7818	7838	20							104,74	104,74						0,38484	0,39412
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Fixation	Whole	7	7838	7978	140			0,38484	0,39412	3,7182										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Saccade	Partial	9	7978	7998	20							407,77	407,77				0,38484	0,39412		
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Saccade	Partial	10	8218	8238	20							162,89	162,89							
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Saccade	Partial	11	8298	8318	20							191,09	191,09						0,39082	0,39474
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Fixation	Whole	8	8318	8478	160			0,39082	0,39474	3,86883										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Saccade	Partial	12	8478	8518	40							176,94	200,78				0,39082	0,39474		
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Saccade	Partial	13	8558	8578	20							100,06	100,06							
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Saccade	Partial	14	8618	8638	20							369,23	369,23							
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Saccade	Partial	15	8757	8777	20							127,09	127,09						0,41418	0,38961
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Fixation	Whole	9	8777	9817	1039			0,41418	0,38961	3,8498										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Saccade	Whole	16	9817	9877	60						17,44	172,82	262,41	10,64			0,41418	0,38961	0,53003	0,35322
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Fixation	Whole	10	9877	10516	640			0,53003	0,35322	3,63045										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Saccade	Partial	17	10516	10536	20							252,26	252,26				0,53003	0,35322		
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Fixation	Partial	11	10576	11596	1019			0,51759	0,3531	3,55397										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Saccade	Partial	18	11656	11696	40							140,52	140,52						0,49838	0,34179
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Fixation	Whole	12	11696	14014	2319			0,49838	0,34179	3,69129										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Saccade	Whole	19	14014	14034	20						113,12	150,86	150,86	3,49			0,49838	0,34179	0,47155	0,27894
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Fixation	Whole	13	14034	21510	7476			0,47155	0,27894	3,6753										
Recording113	ProVisioNET_study_137_05	Female	Novice	Calibration_phase2	1	fullstream	Saccade	Whole	20	21510	21530	20						268,64	117,78	117,78	2,47			0,47155	0,27894	0,46997	0,34548
